delito,ciudad,fecha,cantidad,departamento
Hurto a personas,Medellín,2021-01-15,45,Antioquia
Homicidio,Bello,2021-02-10,8,Antioquia
Hurto a comercio,Itagüí,2021-03-05,23,Antioquia
Extorsión,Envigado,2021-04-12,12,Antioquia
Lesiones personales,Medellín,2021-05-08,34,Antioquia
Hurto a personas,Sabaneta,2021-06-20,15,Antioquia
Homicidio,Medellín,2021-07-18,18,Antioquia
Hurto a comercio,Bello,2021-08-25,29,Antioquia
Extorsión,Medellín,2021-09-14,22,Antioquia
Lesiones personales,Itagüí,2021-10-30,41,Antioquia
Hurto a personas,Medellín,2022-01-22,52,Antioquia
Homicidio,Envigado,2022-02-17,6,Antioquia
Hurto a comercio,Medellín,2022-03-11,31,Antioquia
Extorsión,Bello,2022-04-28,18,Antioquia
Lesiones personales,Sabaneta,2022-05-15,28,Antioquia
Hurto a personas,Itagüí,2022-06-09,38,Antioquia
Homicidio,Medellín,2022-07-24,14,Antioquia
Hurto a comercio,Envigado,2022-08-19,25,Antioquia
Extorsión,Medellín,2022-09-07,26,Antioquia
Lesiones personales,Bello,2022-10-13,35,Antioquia
Hurto a personas,Medellín,2023-01-08,48,Antioquia
Homicidio,Sabaneta,2023-02-25,4,Antioquia
Hurto a comercio,Medellín,2023-03-18,33,Antioquia
Extorsión,Itagüí,2023-04-06,21,Antioquia
Lesiones personales,Envigado,2023-05-29,32,Antioquia
Hurto a personas,Bello,2023-06-16,42,Antioquia
Homicidio,Medellín,2023-07-03,16,Antioquia
Hurto a comercio,Sabaneta,2023-08-21,19,Antioquia
Extorsión,Medellín,2023-09-12,28,Antioquia
Lesiones personales,Itagüí,2023-10-27,39,Antioquia
Hurto a personas,Medellín,2024-01-14,55,Antioquia
Homicidio,Envigado,2024-02-09,7,Antioquia
Hurto a comercio,Bello,2024-03-26,36,Antioquia
Extorsión,Medellín,2024-04-18,32,Antioquia
Lesiones personales,Sabaneta,2024-05-11,44,Antioquia
Hurto a personas,Itagüí,2024-06-28,47,Antioquia
Homicidio,Medellín,2024-07-15,19,Antioquia
Hurto a comercio,Envigado,2024-08-02,28,Antioquia
Extorsión,Bello,2024-09-19,35,Antioquia
Lesiones personales,Medellín,2024-10-06,51,Antioquia
Hurto a personas,Medellín,2025-01-23,58,Antioquia
Homicidio,Sabaneta,2025-02-14,5,Antioquia
Hurto a comercio,Medellín,2025-03-09,42,Antioquia
Extorsión,Itagüí,2025-04-25,38,Antioquia
Lesiones personales,Envigado,2025-05-17,48,Antioquia
Hurto a personas,Bello,2025-06-04,49,Antioquia
Homicidio,Medellín,2025-07-21,21,Antioquia
Hurto a comercio,Sabaneta,2025-08-18,31,Antioquia
Extorsión,Medellín,2025-09-05,41,Antioquia
Lesiones personales,Itagüí,2025-09-22,53,Antioquia
